model,threshold,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,is_selected
linear_svm,0.63,0.5247255267745191,0.514109223641724,0.6805004955401388,0.5857169514568283,0.6391296759555529,6172,10383,5158,10986,False
linear_svm,0.64,0.5240833052998563,0.5138518659558263,0.668669474727453,0.5811261843238588,0.6306669470929146,6342,10213,5349,10795,False
linear_svm,0.65,0.5251536744242943,0.5149416380103647,0.6585728444003964,0.5779674376885652,0.6237752719336329,6540,10015,5512,10632,False
linear_svm,0.66,0.5262240435487324,0.5160812943962115,0.6480426164519326,0.5745826010544816,0.6165142372242127,6745,9810,5682,10462,False
linear_svm,0.67,0.5251536744242943,0.5155360829934028,0.634105550049554,0.5687064248215328,0.606220316700816,6935,9620,5907,10237,False
linear_svm,0.68,0.5265298632985719,0.5170162451161834,0.6229558969276512,0.5650634902798067,0.5984314752225449,7160,9395,6087,10057,False
linear_svm,0.69,0.5263463714486681,0.5172088142707241,0.610629335976214,0.5600499943188274,0.5893395188674734,7353,9202,6286,9858,False
linear_svm,0.7,0.5256124040490535,0.5169291760420015,0.597683349851338,0.5543809250215456,0.5795752144350208,7538,9017,6495,9649,False
linear_svm,0.71,0.5257041499740053,0.517432603085708,0.5837462834489594,0.5485927176412376,0.5691577383468819,7766,8789,6720,9424,False
linear_svm,0.72,0.5267745190984434,0.5188668619058346,0.5706764122893955,0.5435398230088495,0.5595029879026381,8012,8543,6931,9213,False
linear_svm,0.73,0.5292210770971589,0.5217921896792189,0.5561818632309217,0.5384384744543056,0.548946004108383,8326,8229,7165,8979,False
linear_svm,0.74,0.5301385363466773,0.5232447252354273,0.5437933597621407,0.5333211834031955,0.5395555227769993,8556,7999,7365,8779,False
linear_svm,0.75,0.5301385363466773,0.5238765764662667,0.5300421209117938,0.5269413141203276,0.5287974292423681,8778,7777,7587,8557,False
linear_svm,0.76,0.530230282271629,0.5247237132933376,0.5146803766105055,0.5196535226242222,0.5166581686585169,9029,7526,7835,8309,False
linear_svm,0.77,0.5307501758463562,0.5260314981127164,0.500681367690783,0.5130434782608696,0.5055540266693352,9272,7283,8061,8083,False
linear_svm,0.78,0.5313312333710511,0.5275331136959591,0.4860009910802775,0.5059161105200374,0.4937758813830256,9528,7027,8298,7846,False
linear_svm,0.79,0.5315453071959387,0.5287044759521824,0.4711967294350842,0.4982968688589021,0.4816751937591814,9774,6781,8537,7607,False
linear_svm,0.8,0.5318817089207621,0.5301534692701203,0.4557730426164519,0.49015754588149085,0.46893123446561724,10034,6521,8786,7358,False
linear_svm,0.81,0.5321875286706016,0.5317728261685047,0.4390485629335976,0.4809825942387948,0.45491303510686093,10314,6241,9056,7088,False
linear_svm,0.82,0.531392397321019,0.5321784118523164,0.42052775024777006,0.4698107331926231,0.43894585752524795,10587,5968,9355,6789,False
linear_svm,0.83,0.5316064711459066,0.5338345864661654,0.40460852329038655,0.4603241719520789,0.4251939801072749,10851,5704,9612,6532,False
linear_svm,0.84,0.531361815346035,0.5352173166122659,0.38596382556987113,0.4484992442237098,0.4087617098323231,11144,5411,9913,6231,False
linear_svm,0.85,0.5313006513960672,0.5370068765834238,0.3676288404360753,0.43646124430063243,0.3923811286824985,11438,5117,10209,5935,False
linear_svm,0.86,0.5308725037462919,0.5385205059409736,0.3481169474727453,0.42287434161023324,0.3746067295899323,11739,4816,10524,5620,False
linear_svm,0.87,0.5310865775711795,0.541739577972208,0.32600346878097125,0.4070536370315944,0.35421518084290154,12103,4452,10881,5263,False
linear_svm,0.88,0.5303831921465488,0.5436226749335695,0.30413776015857286,0.3900540197013028,0.33352353005108143,12433,4122,11234,4910,False
linear_svm,0.89,0.5294045689470626,0.5455202312138728,0.280599603567889,0.3705824607329843,0.31078485181119647,12781,3774,11614,4530,False
linear_svm,0.9,0.528640019572464,0.5483785572468564,0.2566278493557978,0.3496350056964429,0.2871858146982573,13143,3412,12001,4143,False
linear_svm,0.91,0.5279977980978011,0.5524992605737947,0.23141724479682854,0.32620274163974505,0.2618520283719757,13529,3026,12408,3736,False
linear_svm,0.92,0.5253983302241658,0.5521441681962289,0.20496778989098116,0.2989564981704838,0.23445138800323087,13871,2684,12835,3309,False
linear_svm,0.93,0.5242056331997921,0.5565200617283951,0.1787041625371655,0.270536384096024,0.20678038990825687,14256,2299,13259,2885,False
linear_svm,0.94,0.5230129361754182,0.5630039161483529,0.15138751238850348,0.23861361972174763,0.17731474092023738,14658,1897,13700,2444,False
linear_svm,0.95,0.5224930426006912,0.5738984941438929,0.1274777006937562,0.20861632032437913,0.15096388016783546,15027,1528,14086,2058,False
linear_svm,0.96,0.5189149515275696,0.5752825373678454,0.09774529236868186,0.1670990628474612,0.11720316701079933,15390,1165,14566,1578,False
linear_svm,0.97,0.516529557478822,0.5869226777374157,0.0700569871159564,0.12517292900226884,0.08503375787558456,15759,796,15013,1131,False
linear_svm,0.98,0.5134713599804276,0.6026200873362445,0.04274033696729435,0.07981953843484296,0.052494636417583423,16100,455,15454,690,False
linear_svm,0.99,0.5097709410073703,0.6432160804020101,0.015857284440039643,0.030951517349776327,0.019700187767414657,16413,142,15888,256,False
random_forest,0.01,0.4938988959907031,0.4938060135197137,1.0,0.6611380715441162,0.8298635742117221,6,16549,0,16144,False
random_forest,0.02,0.4940518058656228,0.49388154674498286,1.0,0.6612057667103539,0.8299062345780556,11,16544,0,16144,False
random_forest,0.03,0.4941741337655586,0.4939419899645086,1.0,0.661259932825428,0.8299403660292001,15,16540,0,16144,False
random_forest,0.04,0.4942352977155265,0.49397184822521417,0.9999380574826561,0.6612731443552351,0.8299230895780209,18,16537,1,16143,False
random_forest,0.05,0.4943270436404783,0.49401719864124616,0.9999380574826561,0.661313778906618,0.8299486905288269,21,16534,1,16143,False
