model,threshold,precision,recall,f1,f2,fp,fn,is_selected
logistic_regression,0.25,0.49406095577176884,0.9970887016848364,0.6607285787583376,0.8284014533178258,16484,47,False
logistic_regression,0.26,0.49410246959085885,0.9964073339940536,0.6606160164271048,0.8280484289420582,16470,58,False
logistic_regression,0.27,0.4940992070809515,0.9958498513379583,0.6604905303808389,0.8277385340939515,16461,67,False
logistic_regression,0.28,0.4942030322600486,0.9954162537165511,0.6604878650253797,0.8275570844448107,16447,74,False
logistic_regression,0.29,0.4942737516162798,0.9944871159563925,0.6603463167852589,0.82708277524779,16427,89,False
logistic_regression,0.3,0.4943574247656635,0.9931243805748265,0.6601202239789197,0.8263751443179944,16399,111,False
logistic_regression,0.31,0.49430080622741174,0.9912041625371655,0.659645072861059,0.8252792705443068,16371,142,False
logistic_regression,0.32,0.4943848033907744,0.9898414271555996,0.6594177481585408,0.8245699130021982,16343,164,False
logistic_regression,0.33,0.49456066945606697,0.9884167492566898,0.6592575760705653,0.8238762507615576,16308,187,False
logistic_regression,0.34,0.49473258957705335,0.9861248761149654,0.6588994888562383,0.822696501472792,16259,224,False
logistic_regression,0.35,0.49468698388956406,0.9833374628344896,0.658235720949518,0.8211178582142821,16216,269,False
logistic_regression,0.36,0.49478157615149054,0.9807978196233895,0.6577493457400407,0.8197519103729628,16168,310,False
logistic_regression,0.37,0.49460713613845864,0.9771432111000992,0.6567717223864441,0.8176116927542241,16119,369,False
logistic_regression,0.38,0.4949631681672228,0.9739222001982161,0.6563556668753914,0.8159992526623903,16043,421,False
logistic_regression,0.39,0.4950570102018256,0.9708870168483648,0.6557473067670746,0.8143437555202261,15987,470,False
logistic_regression,0.4,0.4948247396494793,0.9653741328047571,0.6542821158690176,0.8111104171871096,15911,559,False
logistic_regression,0.41,0.49489502903452237,0.9607903865213082,0.6532872846733774,0.8085552242540504,15831,633,False
logistic_regression,0.42,0.49516900459024815,0.9555252725470763,0.6523035287650379,0.8057119577139634,15727,718,False
logistic_regression,0.43,0.49557064338829615,0.9494549058473737,0.6512299783319879,0.8024626725022511,15602,816,False
logistic_regression,0.44,0.49552161026609776,0.9423934588701685,0.6495186458044272,0.7983920905970886,15489,930,False
logistic_regression,0.45,0.49599132549122693,0.9350222993062438,0.6481600755721585,0.794390064203768,15339,1049,False
logistic_regression,0.46,0.49686348700587474,0.9272794846382557,0.6470295852873166,0.7903489784066311,15159,1174,False
logistic_regression,0.47,0.4970148252498826,0.9178642220019821,0.6448496453283433,0.7849348447928806,14996,1326,False
logistic_regression,0.48,0.4974531377343113,0.9073959365708623,0.6426127390770311,0.779003233217051,14799,1495,False
logistic_regression,0.49,0.4980065988452021,0.8975470763131813,0.6405835543766578,0.7734435049961568,14606,1654,False
logistic_regression,0.5,0.49806438112510026,0.8846010901883052,0.6373028092018653,0.765745477163294,14392,1863,False
logistic_regression,0.51,0.4991137266023823,0.8720887016848364,0.6348755411255411,0.7586976202793585,14129,2065,False
logistic_regression,0.52,0.5001262307498107,0.8589568880079287,0.632171593991475,0.7511673510070095,13860,2277,False
logistic_regression,0.53,0.5011020498126515,0.8449578790882062,0.6291103629571554,0.7429900433560644,13581,2503,False
logistic_regression,0.54,0.5018567838253498,0.8287289395441031,0.6251430974464407,0.7332164191373924,13280,2765,False
logistic_regression,0.55,0.5037478377858927,0.8117566897918731,0.6216940629521573,0.7233058471592101,12910,3039,False
logistic_regression,0.56,0.504845572013867,0.7937933597621407,0.6171739549219804,0.7122610048910627,12569,3329,False
logistic_regression,0.57,0.506535550969204,0.7753344895936571,0.6127524170848121,0.7009419064365473,12194,3627,False
logistic_regression,0.58,0.5080736012016522,0.7542740336967294,0.6071651168008776,0.6876319980122653,11790,3967,False
logistic_regression,0.59,0.5091786606912005,0.7319127849355798,0.600559085133418,0.6730309175001709,11390,4328,False
logistic_regression,0.6,0.5102970739334376,0.7075693756194251,0.5929559552544836,0.6567886753832177,10962,4721,False
logistic_regression,0.61,0.5140588510042037,0.6817393458870169,0.5861426212920062,0.639987905007792,10404,5138,False
logistic_regression,0.62,0.5163742690058479,0.6563429137760158,0.5780056731398647,0.6225909560966438,9924,5548,False
logistic_regression,0.63,0.518452441635233,0.6300173439048563,0.5688160617415133,0.6040216642516094,9447,5973,False
logistic_regression,0.64,0.5204606320299946,0.6018954410307235,0.5582237031079451,0.5836316459649713,8953,6427,False
logistic_regression,0.65,0.5218959589697345,0.5735877106045589,0.546522265175436,0.5624460938543957,8483,6884,False
logistic_regression,0.66,0.5251220383378974,0.5463949454905848,0.5355473256025742,0.5420035883697496,7977,7323,False
logistic_regression,0.67,0.5289099526066351,0.5184588701684837,0.5236322687603616,0.5205159139811694,7455,7774,False
logistic_regression,0.68,0.5323493732308936,0.48928394449950446,0.5099089794073979,0.49733044551338557,6939,8245,False
logistic_regression,0.69,0.5345758077282867,0.46017096134786917,0.49459072600778936,0.47334752080333364,6468,8715,False
logistic_regression,0.7,0.5376677787260454,0.42926164519326065,0.4773878000895533,0.4472987800942361,5959,9214,False
logistic_regression,0.71,0.543119420582786,0.39946729435084244,0.46034691983724746,0.42177894048397646,5425,9695,False
logistic_regression,0.72,0.5459419486041782,0.3658325074331021,0.4380980639418441,0.39167573016420404,4912,10238,False
