model,threshold,accuracy,precision,recall,f1,f2,roc_auc,average_precision,tn,fp,fn,tp,false_positive_rate,false_negative_rate
xlm_roberta_v5_vi,0.32,0.7576923076923077,0.6807817589576547,0.8818565400843882,0.7683823529411765,0.8326693227091634,0.8678639054136661,0.8504652942583789,185,98,28,209,0.3462897526501767,0.11814345991561181
xlm_roberta_v5_vi,0.33,0.7615384615384615,0.6902356902356902,0.8649789029535865,0.7677902621722846,0.8232931726907631,0.8678639054136661,0.8504652942583789,191,92,32,205,0.3250883392226148,0.1350210970464135
xlm_roberta_v5_vi,0.34,0.7692307692307693,0.6996587030716723,0.8649789029535865,0.7735849056603774,0.8259468170829976,0.8678639054136661,0.8504652942583789,195,88,32,205,0.31095406360424027,0.1350210970464135
xlm_roberta_v5_vi,0.35,0.7692307692307693,0.7010309278350515,0.8607594936708861,0.7727272727272727,0.8232445520581114,0.8678639054136661,0.8504652942583789,196,87,33,204,0.30742049469964666,0.13924050632911392
xlm_roberta_v5_vi,0.36,0.7730769230769231,0.7073170731707317,0.8565400843881856,0.7748091603053435,0.8218623481781376,0.8678639054136661,0.8504652942583789,199,84,34,203,0.2968197879858657,0.14345991561181434
xlm_roberta_v5_vi,0.37,0.7788461538461539,0.7163120567375887,0.8523206751054853,0.7784200385356455,0.8211382113821138,0.8678639054136661,0.8504652942583789,203,80,35,202,0.2826855123674912,0.14767932489451477
xlm_roberta_v5_vi,0.38,0.7769230769230769,0.72,0.8354430379746836,0.7734375,0.8094848732624693,0.8678639054136661,0.8504652942583789,206,77,39,198,0.27208480565371024,0.16455696202531644
xlm_roberta_v5_vi,0.39,0.7769230769230769,0.7232472324723247,0.8270042194092827,0.7716535433070866,0.8039376538146021,0.8678639054136661,0.8504652942583789,208,75,41,196,0.26501766784452296,0.1729957805907173
xlm_roberta_v5_vi,0.4,0.7711538461538462,0.7218045112781954,0.810126582278481,0.7634194831013916,0.7907742998352554,0.8678639054136661,0.8504652942583789,209,74,45,192,0.26148409893992935,0.189873417721519
xlm_roberta_v5_vi,0.41,0.7788461538461539,0.7346153846153847,0.8059071729957806,0.7686116700201208,0.7905629139072847,0.8678639054136661,0.8504652942583789,214,69,46,191,0.24381625441696114,0.1940928270042194
xlm_roberta_v5_vi,0.42,0.7788461538461539,0.73828125,0.7974683544303798,0.7667342799188641,0.7848837209302325,0.8678639054136661,0.8504652942583789,216,67,48,189,0.23674911660777384,0.20253164556962025
xlm_roberta_v5_vi,0.43,0.7826923076923077,0.7440944881889764,0.7974683544303798,0.769857433808554,0.7861896838602329,0.8678639054136661,0.8504652942583789,218,65,48,189,0.22968197879858657,0.20253164556962025
xlm_roberta_v5_vi,0.44,0.7865384615384615,0.75,0.7974683544303798,0.7730061349693251,0.7875,0.8678639054136661,0.8504652942583789,220,63,48,189,0.2226148409893993,0.20253164556962025
xlm_roberta_v5_vi,0.45,0.7826923076923077,0.75,0.7848101265822784,0.7670103092783506,0.7775919732441472,0.8678639054136661,0.8504652942583789,221,62,51,186,0.21908127208480566,0.21518987341772153
xlm_roberta_v5_vi,0.46,0.7865384615384615,0.7560975609756098,0.7848101265822784,0.7701863354037267,0.7788944723618091,0.8678639054136661,0.8504652942583789,223,60,51,186,0.21201413427561838,0.21518987341772153
xlm_roberta_v5_vi,0.47,0.7865384615384615,0.7625,0.7721518987341772,0.7672955974842768,0.7702020202020202,0.8678639054136661,0.8504652942583789,226,57,54,183,0.20141342756183744,0.22784810126582278
xlm_roberta_v5_vi,0.48,0.7846153846153846,0.7615062761506276,0.7679324894514767,0.7647058823529411,0.7666385846672283,0.8678639054136661,0.8504652942583789,226,57,55,182,0.20141342756183744,0.2320675105485232
xlm_roberta_v5_vi,0.49,0.7903846153846154,0.7711864406779662,0.7679324894514767,0.7695560253699789,0.768581081081081,0.8678639054136661,0.8504652942583789,229,54,55,182,0.19081272084805653,0.2320675105485232
xlm_roberta_v5_vi,0.5,0.7903846153846154,0.7758620689655172,0.759493670886076,0.767590618336887,0.7627118644067796,0.8678639054136661,0.8504652942583789,231,52,57,180,0.18374558303886926,0.24050632911392406
xlm_roberta_v5_vi,0.51,0.7826923076923077,0.7719298245614035,0.7426160337552743,0.7569892473118279,0.7482993197278912,0.8678639054136661,0.8504652942583789,231,52,61,176,0.18374558303886926,0.25738396624472576
